 Resultados de la simulación
 Numero de partículas:         500
 Volumen de la caja   1000.0000000000000     
 Lado de la caja   10.000000000000000     
 Radio de corte del potencial   5.0000000000000000     
 Energía potencial =  -1688.1603719028210     
 Energía cinética  =   1023.1603719028227     
 Energía total     =  -664.99999999999829     
 Momento neto  =   1.7341171882562566E-014
 Posiciones, velocidades, aceleraciones
     i       rx             ry             rz             vx             vy             vz             ax             ay             az
    59       9.143107       3.923207       0.879079       0.084474      -0.734687       1.129805       0.154036      -0.176722      -0.789376
    60       7.989073       5.139078       0.888512      -1.928206      -0.571365       0.471945      -1.324764       2.233745      -1.077673
    61      -0.123087       6.102814      -0.116187       0.545635       1.918560       1.836944       0.491125       0.349098      -2.372298
    62       0.905127       7.012719      -0.191586       0.858039       1.580908       1.458514      -4.743310     -15.010021      10.200312
    63       1.095761       5.847718       0.865569       1.117917       0.463824      -0.189570       0.365189      -0.805082      -0.413140
    64       0.095545       7.141879       0.811969       0.245666      -0.238482      -2.079752       0.203149       2.122443      -2.819575
    65       2.030417       6.044403       0.192077       0.619779      -1.683473       0.544654       1.634397      -0.709842      -0.113932
    66       3.049755       6.801440      -0.154457      -0.305788      -0.447768      -0.639760       1.103059      14.056409      19.731556
    67       3.179861       5.959865       1.109820      -1.728042      -0.309508       1.851167      -4.690608      -1.376226      -7.683771
    68       1.980889       7.129353       0.901025      -1.149993      -1.072727       0.345904      -1.119217      -3.621139       2.104940
    69       3.866605       5.884003       0.119729       1.887740       0.679433       0.399868      -2.085921      -0.704257       0.111295
    70       5.165954       6.978469      -0.068401      -0.309992      -1.204991       1.041567       2.104215      -0.761049       0.982920
    71       5.176097       6.096914       0.869666      -0.265770      -1.709747       1.800085      -2.063405      -2.336654      -2.220403
    72       4.088670       6.831527       1.029032      -1.830442      -0.475230      -0.558719      -0.183639      -3.145719      -0.093161
    73       6.085171       5.881507       0.070467      -1.022680      -0.004976       0.494014      -1.100482       0.202929       1.418047
    74       7.055238       6.836474      -0.071793       0.309097      -1.118816      -1.537924       0.798532      -1.369779      -1.023885
    75       7.142411       6.087220       1.027361       1.202835       0.919023      -1.361530       2.294492       0.602407       0.225543
    76       5.954013       6.839321       1.076493       0.539526      -1.138836       0.186598       2.367552       0.857246       1.259798
    77       7.944062       6.059104       0.003478       1.785752       1.568207       0.811566      -0.590037      -0.617238       0.504440
    78       8.913125       6.810604       0.007479      -0.570176       1.439952       0.333189      -0.195083      -1.816889      -0.557202
    79       8.912415       5.979999       1.033148      -1.272257       0.296795      -2.057158      -2.502352      -0.552878      -0.928396
    80       7.995143       6.873600       1.183687       1.657413      -0.625318      -0.036005      -1.523956      13.037804     -13.670328
    81      -0.076756       8.014254      -0.022748       0.471221      -0.835694       1.915931       1.000687       0.356476       0.761806
    82       1.010330       9.059071       0.013673       1.613114      -0.594105      -0.876190      -0.355146       0.638790       2.755154
    83       0.869558       8.143197       0.817042      -1.170807       1.863923       1.624178      -1.458457       1.014016      -2.049983
