 Resultados de la simulación
 Numero de partículas:         500
 Volumen de la caja   1000.0000000000000     
 Lado de la caja   10.000000000000000     
 Radio de corte del potencial   5.0000000000000000     
 Energía potencial =  -1688.1603719028210     
 Energía cinética  =   1023.1603719028227     
 Energía total     =  -664.99999999999829     
 Momento neto  =   1.7341171882562566E-014
 Posiciones, velocidades, aceleraciones
     i       rx             ry             rz             vx             vy             vz             ax             ay             az
   249       3.980194       3.937374       3.941384      -1.150222      -1.121184       0.271909       1.520666      -1.728871       0.487582
   250       4.994369       4.896273       4.010064       1.931730      -0.986876       1.497479      -0.256073      -0.133560       0.395932
   251       4.925728       3.903427       4.930089      -0.122086      -1.725137      -1.628045       0.604668       0.880729      -0.124023
   252       4.081650       4.994007       5.159456       0.678493       0.655515       1.595973       1.062353      -0.695794       2.142246
   253       6.014062       3.817146       3.856488       1.531301      -1.630532      -0.640602      -0.064045      -2.382828      -1.526304
   254       6.966411       4.958306       3.905782       0.536788      -1.118797      -0.018895      -0.020928      -0.157881      -2.008052
   255       6.824346       3.909914       5.066157      -1.335484      -0.796046       1.269148      -2.400049      -0.398812       2.018145
   256       5.917857       4.974041       5.169149       0.383220      -1.229756      -0.153670       2.004029      14.005454     -11.102308
   257       8.109580       4.079645       4.070920      -1.667060      -1.815912      -1.625386      -0.166039       0.760447      -2.293216
   258       9.091072       5.097894       3.898394      -0.490036       1.924169      -1.375387      -1.402258      -0.981007       3.514413
   259       8.963864       4.161414       4.813499       0.324077       1.921114       0.536539       2.007511      -0.438562      -1.178850
   260       8.078392       4.825391       5.013478       1.129686       0.154318      -0.007116      -0.839027      -0.598330       0.011081
   261       0.136730       6.076766       3.835935      -0.861992       1.039937       1.853275      -1.264251      -1.488357       0.050583
   262       1.130877       7.160585       3.945770      -1.683701      -0.176940       0.758491      -0.656415      -1.434330      -0.004359
   263       0.924604       5.962107       5.001966      -0.242376      -0.714659      -0.150009       0.637946      -0.891268       0.123945
   264      -0.089709       7.070464       4.959957      -0.283062      -1.088878       0.527690      -2.872470      -0.718352       0.404827
   265       1.870066       6.073226       4.095212      -1.410966      -0.494058      -0.603570      -0.139268      -0.222447       2.446557
   266       2.876888       7.109870       4.089721       1.722643       0.103998       1.251439      -2.053712      -0.780698       0.102979
   267       2.897707       6.018780       4.923876      -1.962285      -0.908169       0.288398      -4.266814      -0.249353       1.797112
   268       2.062992       6.968978       5.082795       1.254004      -0.181175       0.966362      -3.353675      -0.631785      -3.664136
   269       4.073334       6.048961       3.867491       0.349498       1.001144      -1.632290       0.767144      -0.159938      -3.122211
   270       4.999212       7.121064       3.848237      -1.954317      -1.103154       1.843145       1.193490       1.892087       1.215185
   271       5.034852       5.851955       5.015181      -0.171623       0.287372       0.465599       2.582694      -1.372085       0.052059
   272       4.146197       7.095947       5.198348       1.754241      -0.332922       0.299635       0.437693       0.781714       1.874679
   273       5.835716       5.951120       4.014702      -0.617902       1.321741       1.753646      -1.057022       0.503376       1.388515
   274       6.989269       7.007987       4.084319       1.658286      -1.679365      -0.535074       1.286811       1.852363      -1.203904
   275       7.071442       5.890800       4.955770      -0.201358       1.404276      -0.158189       0.601484       0.489217       0.193858
   276       5.807928       6.922094       4.815099      -0.767608       1.854306      -1.217825      -1.960649      -0.094317      -1.859903
   277       8.025061       6.114903       4.093923       0.386896       1.486100       1.377771      -0.706343       1.297846       1.217232
   278       9.014287       7.157328       4.177154       0.480883       0.274253       0.257294       1.012052      -0.414032       1.585546
   279       9.178626       6.084775       4.861586      -1.845466       1.013802      -1.601294       1.496417       1.907256       0.281819
   280       7.889738       6.834930       5.162237      -1.910940       0.812387       1.469546      -2.535940       6.684443      -9.435363
   281      -0.089946       8.173484       4.147405      -0.633579       0.599049      -0.522183       1.850901      -1.426785       2.000020
   282       0.812696       9.102304       4.186145       0.303486      -0.562285       1.392317      -4.716462      -6.770000      -5.426765
   283       1.088516       8.179266       4.917457      -1.280925      -0.652075       1.610252      -0.477467       1.294004       0.498967
   284       0.087284       9.154794       5.094770      -1.845934       2.031504      -0.853810       0.971821       1.249104       0.156725
   285       1.864661       7.982805       4.124858      -1.145430      -1.285219      -0.339819       2.156046      -0.830519       0.097281
   286       3.109589       9.105665       3.991824       1.919296      -0.978836       1.507652       1.380046       0.696981       1.372548
   287       3.104168       8.188559       4.987376       0.801854       1.498863       0.426806      -0.268054       1.796790       0.053740
   288       2.177753       8.964282       5.158827      -1.731323      -0.603537      -0.626579      -0.162321      -0.283584       0.582727
   289       4.138183       8.061368       3.904550       0.466752       1.392494      -1.366077       1.949794       0.292232      -1.865674
   290       5.002484       8.843893       4.109802      -1.847860       0.357939       0.220883      -1.723860      -1.447990       1.435533
   291       4.909833       7.856449       4.833663      -0.429412      -1.924414       1.657611       0.580490       0.015560      -2.406100
   292       4.127418       9.034475       5.113217       1.589607       1.789949       1.120567       0.203357       0.197342      -0.074938
   293       6.019659       7.888637       3.965942      -1.399616      -0.874726      -0.431537       0.677014      -2.086113       0.614342
   294       7.046181       8.902263       4.130270       0.034296      -1.747359      -1.828979       1.466895      -1.495473       2.064333
   295       6.910931       8.036502       4.927527       0.092102       1.051199      -1.116338       1.169104       1.648843       0.093363
   296       6.116169       8.850005       5.198501       1.099122      -0.874167      -1.274801       3.137679       1.528120      -0.274078
   297       7.838970       7.917258       3.980225       1.902324      -1.074793       0.204246      -3.160817       2.511531       3.107830
   298       9.059101       8.845846       3.925128      -1.763407      -0.105712      -1.584128      -0.222539       1.206046      -2.034417
   299       9.052404       7.853605       5.139821      -0.111014      -0.667752       0.887560       1.798148       0.638646      -1.010654
   300       7.819986       8.978221       5.189088      -0.000009       0.676704       0.263270      -2.179228       1.582607      -2.468971
   301      -0.033514      -0.000121       6.013324       0.781961       1.756967       1.725584       0.758717      -1.583702       0.152047
   302       1.071275       0.985020       5.824523      -0.434017       2.064591       1.684850       2.474860       0.115175      -1.567699
   303       0.983839       0.028159       6.855278       1.165869      -0.033463       1.777241       0.138276       0.048943      -2.079105
   304      -0.191312       1.059583       7.107164       0.672840       0.834875      -1.879668      -1.554709      -0.275562       0.803030
   305       1.952854      -0.013090       6.008334       1.717109      -0.081940      -0.881015      -2.421540       0.129343       0.280389
   306       3.128274       1.131908       5.839154       0.180239       0.537556      -1.195042      -1.096488       0.384361       1.132029
   307       2.906423       0.084578       7.121547       1.596216      -0.824083      -1.670698      -2.318489      -1.140239       1.580729
   308       1.884564       0.824263       6.854805       0.745713      -0.361398      -2.080963      -0.037085      -2.346966      -0.976440
   309       3.943316       0.109954       6.043125       1.550703      -0.023213      -1.703876       0.889374       1.678045      -1.572372
   310       4.962388       0.942398       6.009952       0.081655       1.688182      -2.070534      -0.222294       0.416200      -1.755682
   311       4.929378       0.191500       6.833359       2.066479       0.797013      -0.705845      -0.557303      -0.520311      -0.290874
   312       3.957254       1.186598       6.995099       1.007403       1.362588      -2.043323       0.920495       1.595337      -0.841163
   313       5.977416       0.124021       5.828168      -1.434307      -1.784546      -0.243417      -1.052415      -0.811562      -0.351515
   314       6.999252       1.184262       5.810852       0.815204      -1.397021      -1.854757       0.302383       1.510640      -0.404150
   315       7.092078      -0.045608       6.995711      -0.759236       0.767820      -1.579727       0.866745       0.447463       2.976634
   316       5.895661       1.034838       7.191041       1.570314       0.761158      -0.200381      -0.237340       1.043541       1.839372
   317       8.181812       0.142450       6.010480      -1.023050       2.075366      -1.139508       1.646496       0.929695       0.204341
   318       8.977433       1.077589       6.168269      -1.204068       0.474975       0.571606      -0.346216      -0.911062       2.170434
   319       9.059710      -0.025014       6.966520       0.308572      -1.973639       0.287180       0.779865       1.189334       0.287481
   320       7.856070       1.084677       7.189921      -1.291792       0.366562       1.932282       0.746606       0.611397       1.054824
   321       0.047107       2.059818       5.999991       1.109185       0.991828      -1.965678       1.343089       2.435917       0.960204
   322       1.056026       2.824426       6.048731      -1.047936       0.111275       0.514000      -0.263620      -1.554561       0.142215
   323       0.815086       2.198462       7.191198       0.991349      -1.009297      -0.677845       0.108113       0.855551      -0.529468
   324      -0.087327       2.893436       7.140867      -0.339549       1.582248      -1.437695      -0.667742      -1.496602       0.329276
   325       1.857342       1.963972       5.874099       1.939789       1.684017      -1.860207       4.658823      -0.237339       3.790327
   326       2.944114       3.006975       5.855994       1.645151      -1.687849       1.013118      -0.720261      -0.880926      -0.814366
   327       2.995095       2.168330       6.943434      -0.277754       1.565755       1.635728       1.486321       1.247251      -0.070922
   328       1.987055       3.077711       6.952477       1.699697       1.878260       1.702022      -1.740582       1.350537       0.164547
   329       4.162845       2.069560       5.991509      -1.067938      -0.883936       0.587058      -0.080442      -0.633161       1.500894
   330       4.977333       2.932828       5.937867      -1.667882      -1.062459      -1.327045      -0.718731       0.019648       0.240052
   331       4.980013       1.978954       7.132823      -0.922891       1.738157       0.839421      -0.838087      -0.669406       0.722956
   332       4.115494       2.905816       6.843395      -1.913841       1.396122       1.986796       0.588842      -1.293884      -1.084369
   333       6.153510       1.928106       5.880293      -1.682765      -0.280087       0.452395      -0.086208       1.731998      -1.036254
   334       6.851598       3.088685       5.978844      -1.113097       1.299576       1.694161      -1.527903      -0.457164      -1.514852
   335       6.995945       1.813481       6.999016      -1.932599      -0.425638      -1.735995      -0.614459       0.424414       0.364313
   336       5.823425       3.099722       6.925112      -0.727424      -0.919162       0.719075      -0.199868       0.352028       0.064856
   337       7.805425       2.190149       6.183477      -0.370429      -0.766079      -0.614576      -2.419023      -0.512410       1.245006
   338       9.189187       3.123242       5.946811      -0.054911       1.933833      -0.482026       1.082995       1.140388      -0.126477
   339       9.009908       1.868154       7.126995       0.845201       1.534195      -2.023226      -0.722770       1.933647       1.211343
   340       8.084497       2.950210       7.181031       2.059945      -0.280892       0.070601     -30.573826      -1.798494     -23.330751
   341       0.095222       4.086981       6.118169       0.186793      -0.687151       0.484430      -1.408798       0.882001       1.244661
   342       1.139601       5.023988       6.114592      -1.574721       0.524042       1.834208       2.409162       0.294766       0.004002
   343       0.944921       3.843861       7.164956      -1.515069       0.406840       1.244380       0.456707       0.389990      -1.647476
   344      -0.149326       5.044391       6.881864       0.978998       0.605725      -0.460803      11.115911      -0.383579      11.825883
   345       1.850569       4.004946       6.184853      -0.626426      -1.470263       0.004699      -0.891925      -0.236422       1.126431
   346       2.954248       5.063813       5.930900      -0.319334       1.929031       0.184654      -0.443473       1.430714      -0.268458
   347       3.142569       4.094691       7.142565      -1.153152      -0.438966      -1.036343      -0.962270       0.426201       1.871340
   348       2.107012       4.827123       6.951797       0.638895       0.776176       0.813062       1.143769       0.047699      -1.522586
   349       4.042645       4.093033       6.060784       0.597943       1.927427      -0.921905       0.362506       1.357893      -0.128163
   350       5.193222       4.891506       5.991224       0.404169      -0.274716       1.508035     -11.963359       9.792091       4.907796
   351       5.098474       4.109649       6.963149       1.491892       0.073561       0.421654       1.844604       0.667696      -1.765463
   352       3.829619       5.007206       7.006822       1.585177       0.444344      -0.415253      -1.868765      -0.349072      -0.879340
   353       5.928275       4.190999       5.828629       0.310615       1.700830       1.515784      12.042043     -22.449238       8.265334
   354       6.844768       4.959611       5.968822       0.695120      -0.493289       0.842306      -3.317728      -0.002038      -0.402902
   355       6.982543       3.910734       6.847584      -0.137746      -1.890050      -1.905368      -0.419019      -0.601060      -1.846778
   356       5.876465       5.162064       6.971445       0.858310       1.332079      -1.054862       1.048694      -0.399046      -0.234573
   357       8.104166       4.116875       6.007369       1.031812       1.080941       0.280468       1.458327       0.817751      -0.614387
   358       9.133772       4.992991       6.158986      -0.315614       0.376074       0.157195     -12.887064      -1.381565     -12.884311
   359       8.882557       4.185573       6.923831       0.690490      -1.845355       0.837316       2.132374      -1.761829       0.201199
   360       8.088551       4.932395       6.817167       1.011033       0.144101      -1.236337      -0.726183       2.445491      -0.282317
   361      -0.013683       5.953922       5.815232      -0.486379      -1.052732       0.837178      -1.331051      -0.523018      -2.450355
   362       1.120188       7.091063       5.875569      -1.460712      -0.486300       1.709541       1.295308      -0.253634       0.064383
   363       1.099321       6.139836       6.957362       1.788724      -0.694963      -1.740527       0.401147       1.153954      -1.418381
   364       0.108388       6.992184       6.892369       1.258170       0.511754       0.808261       1.005686       0.008529      -0.196371
   365       2.026734       5.825694       5.887322       1.264622      -0.070926       1.226688       1.669671       7.346788       8.298537
   366       2.808793       6.914021       5.868137       1.391052      -1.695766      -1.556650       1.851871      -2.104262       4.675141
   367       2.869240       6.057072       6.969202      -1.887400       0.484711      -1.085521      -0.564613       1.206184      -1.423734
   368       2.172234       7.060828       6.874339       0.178842      -1.698519      -1.214011       1.042727       0.056603      -0.911245
   369       3.804907       5.944552       6.094417      -0.015558       0.586037       1.182504      -2.766996      -0.710646       0.672159
   370       5.042962       6.938556       5.931637      -0.127606       0.112890       0.680925      -0.306188       0.743364      -0.762992
   371       5.107501       5.988439       7.033637      -0.092196      -0.953010       1.265725       1.728170       0.371996       0.895086
   372       3.920241       7.052584       6.867242      -1.752358      -1.775221       0.644572       3.449704      -2.279624      -2.282764
   373       6.142088       5.956848       5.823412       1.689465       2.096347      -1.170616       0.032670      -2.275182       0.125440
   374       6.838791       7.162444       6.093926      -1.184639       0.595489       0.713097      -0.512358       2.228239       0.629182
   375       6.902205       5.847094       6.947673      -1.177434      -1.411486      -0.009170      -3.041743      -0.843696       0.449150
   376       6.035136       6.872945       6.918651      -1.908347      -0.575682      -0.585548       0.506886      -0.843680       0.094183
   377       8.154079       6.138006       5.891156      -1.837220      -1.854134      -1.081738       4.620582      -6.520051       8.385091
   378       9.080870       6.949995       5.800757      -1.045051      -1.060444       1.409298       0.587505      -3.163903      -1.197206
   379       8.909666       6.197877       7.120285       0.967640      -1.491957      -0.372335      14.222362     -16.089388     -16.997142
   380       8.094991       6.867604       7.023821       0.579563      -1.644078       0.815249      -5.323710       4.893764      -0.817429
   381      -0.066519       7.942472       6.116424      -1.989897       1.855543      -1.699979      -2.134174      -1.485451      -0.799283
   382       0.918571       9.145944       6.098258       1.555893      -1.295906       1.744778      -0.968913       2.111095      -1.226627
   383       1.190164       7.979640       7.078021      -0.024278       0.717521       1.884365       1.674985      -0.676008       1.148545
   384       0.052186       9.135848       7.195370       1.125062       0.008146       0.835903       0.310598       0.513315      -0.449868
   385       1.914059       7.931234       5.965916      -1.729403      -1.991853      -0.609184       0.180661      -1.913730      -0.616683
   386       3.088332       9.022239       6.060071       2.071310      -0.719301      -1.161696      -0.071770       0.145091      -0.774313
   387       3.164673       7.807030       7.024266      -0.069870      -0.482189      -1.217260      -3.053168       3.383078       1.833760
   388       2.199426       8.975358       7.114735      -1.407031      -0.442115       1.243763     -18.362886      -3.103721     -17.524103
   389       4.198157       7.965028       6.072015       0.660849       0.215427      -1.428663       1.320269      -0.765186       1.034002
   390       4.915066       8.974297       6.154326       1.821612       1.706715      -1.573877      -0.416376      -1.452828       0.794227
   391       4.877078       7.962448       7.078828      -1.341123      -0.986643      -1.963650      -1.215444       1.870623       1.461132
   392       3.971225       8.902942       7.167073      -0.183897       0.970381       1.705707       1.010806       2.835265      -3.824955
   393       5.979868       8.170970       6.081178       0.432528      -1.144168       1.143820       2.267527       0.176060       3.041383
   394       7.059341       8.812897       6.012874       0.031301       0.974121      -1.589618     -20.412319      15.409641      -0.570758
   395       6.953978       8.147049       6.913739       1.596103       0.808135       1.309247      -0.814202      -0.180989      -1.684050
   396       5.891730       8.905511       7.035259      -1.684679       1.560231      -0.358085      -0.857848      -2.767467      -0.399634
   397       7.802600       8.144638       5.925862      -1.261524      -1.206375       1.882827      15.597077     -16.949725      -0.383877
   398       9.005219       8.920694       5.913277      -0.082167       1.036015       1.875920       0.302533      -0.808539      -0.511177
   399       8.946742       8.171032       7.063645       0.146399       1.159913       1.643561      -0.906887      -0.740385      -0.336349
   400       7.945199       8.815629       7.178871       0.595699      -1.373075      -1.055492      -0.707078      -0.560542       2.016993
   401      -0.081610      -0.180806       8.098462      -0.697723      -0.838697       1.519823      -0.260571      -0.952400       0.748395
   402       0.818680       1.039289       7.922974      -0.156909      -1.807646      -0.577868      -1.295442       1.046837      -0.986680
   403       1.041392      -0.032990       8.817495       1.351581      -0.374372      -1.354979       1.785826       0.287179      -0.533676
   404      -0.125814       0.982821       9.186979      -0.934478      -1.447508       1.584906       2.053726       0.415341      -0.826622
   405       2.057470      -0.179964       8.081168      -1.910144      -0.822082      -0.418895      -0.717893       0.231214       0.879957
   406       2.819047       1.078732       7.862081       0.976688      -0.279880      -0.371914      -0.107697      -0.410258      -0.973241
   407       2.967993      -0.172875       9.101383      -0.912609       1.664103       0.517988      -0.598609      -1.821838       0.204580
   408       1.926816       0.899437       8.995426       0.087420       1.236100       0.586575      -0.166755      -0.294703       0.574258
   409       4.035936      -0.142116       8.063987       1.235627       1.660741      -0.560344      -0.581823      -2.099428       0.736082
   410       5.060148       1.131936       8.179968       0.305040      -0.334838      -0.627383      -0.816945      -1.135004      -4.360287
   411       4.925681      -0.187143       9.153475      -1.655846      -1.151687      -1.964821      -0.883313      -1.873309       0.029755
   412       4.006992       0.876520       8.825917       0.068324      -0.479779       1.335336       1.034655       1.512576       0.279041
   413       6.155404      -0.066058       7.865881      -1.689447       0.459598      -0.948602       3.080114       1.029607       0.193756
   414       6.894692       1.012997       7.843431      -1.677413       0.758367      -0.243487      -0.632098      -0.754933       0.299579
   415       6.867266       0.175476       8.843254      -1.455450      -0.762461       0.221759       8.195535     -10.750591      -5.321772
   416       6.199046       0.905782       9.125268      -0.214565       0.844899      -1.726192      -8.483217      11.323953       5.245521
   417       8.077341      -0.111142       7.907046      -1.369679       0.648825      -0.455375       0.423557      -2.536343      -0.926580
   418       8.803497       1.013263       7.835661      -0.671452      -1.028050       1.200430      -0.139231      -0.450280      -0.807726
   419       9.053189      -0.094467       8.865719      -1.409619      -1.504623      -1.049508       0.495133      -0.426705      -0.473803
   420       7.891470       1.142160       9.013372      -0.558475      -1.635717      -1.196860       4.027872      -1.050644       0.670594
   421      -0.032429       1.907450       7.901129      -0.898394      -1.066604      -1.601402      -1.388247      -0.743784      -3.230454
   422       1.122803       3.061189       7.939390      -1.687538       0.470322       0.742101       2.309777      -0.503765       1.020112
   423       1.119713       2.081994       9.176781       1.030383       1.015483       0.902281       2.193629       0.060492       0.358701
   424       0.082122       3.113265       9.153465       1.907451      -1.826799      -0.729319       1.505690       2.026025       2.412284
   425       1.984739       1.879135       8.120079      -1.012208       0.601733      -0.056154      -0.873497      -0.674297       1.383949
   426       3.097886       3.113553       7.863776      -0.820533      -0.843117       1.981792      -0.903197       2.801211      -0.389993
   427       3.142237       1.930403       9.192166      -0.013779       0.781662       0.534616       2.261834      11.001060      -6.813110
   428       1.972516       3.117988       8.918564      -2.011842      -0.017830      -1.313610       1.124508      -2.764039       0.662575
   429       4.012397       1.818232       8.111728      -1.738962       1.573924      -1.725917       2.007094      -1.704799       0.686851
   430       4.830672       3.145803       8.137130       1.834498       1.761169       0.724242      -1.377657      -0.392927       0.083898
   431       4.906204       1.873409       8.957161      -1.705020      -0.541764       1.503439      -3.313025       2.640279       4.166321
   432       3.983759       2.981427       9.059533      -0.744272      -1.809202      -0.687945       0.658985      -1.327667      -0.425391
   433       6.058691       2.188131       7.855397      -1.241252       0.105983       1.239814      -0.712763      -1.463687      -1.383013
   434       6.945368       2.885493       7.842007      -0.967681      -1.330035       0.809229       1.694046      -0.890628       0.158577
   435       7.183031       1.946938       8.896692       0.399367       0.011825      -2.061424      -2.408485       4.625056      -0.386978
   436       6.134529       2.885510       8.894699      -0.453506       1.509545      -1.890072       1.313775       0.062529      -0.801619
   437       8.023264       2.034957       7.993805       0.929420      -0.820377      -1.954338       0.351710       0.097242      -0.616091
   438       8.835047       2.945667       7.805029      -0.772225      -0.156478      -0.413837      28.279898      -2.153011      24.346331
   439       8.907168       1.894161       9.150288      -1.501813       1.806537      -0.623921      -1.670340      -1.660623       0.874809
   440       8.117370       2.941377       8.801656       1.254651      -1.836924      -1.017365       0.871587      -2.284574      -0.785122
   441       0.080699       4.131582       8.026598      -0.026619      -1.034187       1.721791       2.524382       1.055418      -0.396312
   442       1.031413       4.996629       8.071259      -0.140011       1.278898      -0.689906      -1.461930      -0.672851       1.705072
   443       1.170434       3.837801       9.182443       0.983094       1.139134       0.487525      -1.735196       0.358182       1.290347
   444       0.185550       5.012376       9.018854      -1.612620      -0.166911      -1.128677      -3.687933       0.909265      -5.272631
   445       2.040512       3.907280       8.136598      -0.957601      -1.151989       0.560368      -5.405613      -0.022900      -7.058734
   446       3.157119       4.826849       8.112958      -0.703132       0.307802      -1.779625      -1.811897       0.589612       0.192409
   447       2.811396       3.918236       8.867944      -1.821770      -1.382332       0.022213       5.587748       0.403361       3.027762
   448       2.194358       5.089295       9.144147      -0.868787       1.712835       0.602902       1.237959       0.565229      -0.236639
   449       3.856432       3.974622       8.046811      -1.259112       1.492334      -0.317433       0.851167      -2.991591       0.600285
   450       5.125748       5.187131       8.110168      -0.366524       0.139996       0.826826      -2.546077      -2.713756       1.422846
   451       5.089099       4.020890       8.805689       0.440741      -0.217220       1.564580       1.917310       1.712160      -0.037776
   452       3.869847       5.132992       9.066639       0.842462       1.362396       1.744764      -0.459058       2.781386       0.084995
   453       6.001495       4.075750       8.010340      -0.243143      -0.407231       1.397579      -0.986698       1.198894       1.680007
   454       6.939574       5.107680       7.972551       0.753489       1.401859       1.113537      -2.048362       1.132338      -0.042055
   455       6.883304       3.905028       8.967013       2.043478       0.353165       1.103532      -2.767660      -0.143106       0.824085
   456       5.999447       4.945752       9.001521       1.026230      -0.321893       1.186742      -1.849444      -0.818183      -1.909899
   457       8.148597       4.132545       8.047350      -1.164698      -0.830981      -0.051663       2.142375      -0.440159      -0.438908
   458       8.824540       5.130240       8.031209       1.854383      -0.843932      -0.717628      -0.472378       1.499295      -1.183369
   459       8.912557       3.859808       9.125893       0.653674      -1.767986      -0.652646      -0.415031      -1.832450       1.213117
   460       7.956751       5.098421       9.129989      -1.130644       0.660760       1.480256       2.671673       2.492028      -1.438793
   461      -0.130236       5.894684       8.027461       1.665018      -0.568262       1.687677      -2.783889      -0.868525       0.964407
   462       1.042869       6.877869       7.839825       1.845817      -0.851312       0.665674       0.601066       1.391261      -0.385699
   463       0.935550       5.935483       9.140267      -1.060374       0.852401      -0.309399      -0.421359      11.041895      -7.952316
   464      -0.062849       7.011367       9.025328       1.645919       1.781928       1.067182       0.524072       0.880510       2.178078
   465       2.164361       5.878851       8.070886       1.496854       1.172378       0.615452       1.504239       1.636246       1.115662
   466       2.843404       6.864118       7.858086       0.279611      -1.983442       0.254831      -0.634786      -0.865834      -0.794453
   467       3.031589       6.196624       9.048729       2.061009      -1.449713      -0.030652      -0.146603     -15.895611     -21.053437
   468       1.890060       6.827327       8.857141      -1.196761       1.135883       0.605862      -0.500790      -1.324650      -0.745288
   469       4.040404       5.994415       8.193429       1.273589      -0.949583       0.041225      -0.112723      -0.879987       3.247552
   470       4.962819       7.191978       8.093167       1.830543      -0.264813      -1.478910      -2.178051      -2.741854      -3.111997
   471       4.931089       5.866012       9.135484       0.795166       1.067623       1.848290      -0.872470      -2.480282      -0.445356
   472       3.873189       7.128206       8.882353       1.863441       1.134728      -1.840955      -1.787821       0.512369      -0.161679
   473       6.008190       5.804453       8.034143       1.728464      -1.087487       1.683834       4.561669       0.956353      -2.343889
   474       6.923610       6.935329       7.887665      -1.186052       1.051085       1.369398      -0.744990      -1.545053      -0.480594
   475       7.169931       6.151974       8.883816       1.237514      -1.673572       1.145793       1.745624       0.565523       1.146404
   476       5.957290       7.197213       9.073098      -0.864875      -1.240087       0.496327      -1.700082       1.704084       0.376486
   477       8.190805       6.118142       7.866379       0.120564      -0.355329       0.136910      -7.433112      -2.301174       9.975239
   478       8.963074       6.964774       7.805255      -0.371408       1.297335      -0.035962       0.509534      11.999754       9.570156
   479       8.998900       5.803752       8.959200      -1.324883      -1.361192      -0.470431       0.806484      -0.495958       1.024453
   480       7.954272       7.114663       9.195517       1.936017      -1.247498      -1.185989      -0.079381      -0.108677       1.932686
   481       0.031635       7.931097       8.101340       1.048991      -1.931475       1.114688      -0.463966       0.714583       1.710640
   482       1.016657       8.801822       7.923702      -1.133320      -1.363754      -1.763103      -2.393994       1.017332      -1.410776
   483       1.055396       7.812387       9.195034       1.941449       1.211840       1.972706       2.089081      13.486938     -10.792405
   484      -0.086404       8.846191       8.991020      -0.529646      -0.438890      -0.533647      -1.465270      -0.832504       0.101431
   485       1.867282       8.113447       8.130244      -1.875706       0.457751       0.359498       1.302502      -0.584255      -0.357788
   486       2.885655       9.125287       7.822073      -1.669217      -0.330930      -1.003787      22.109631       2.431304      18.434334
   487       3.058241       8.036652       8.835215      -0.079228       0.676194       1.466969       2.563581       1.109644       0.570691
   488       2.039157       9.048157       9.196461       0.216989       1.119454      -1.254456       0.918994       1.510632       0.196251
   489       3.861531       8.199992       7.964671      -0.416120       0.768053       1.899056       0.267556      -3.760944       5.213294
   490       4.918827       8.871367       8.004504       0.971638       1.268607       0.722198      -2.020540      -3.036335      -1.139723
   491       5.026956       7.995803       8.809419      -1.670624      -1.441963      -1.114072       0.809885       3.904718       1.848514
   492       3.920547       8.877419       9.144309       0.203508       1.416004      -0.590900      -1.269636      -1.129423      -0.500106
   493       5.820384       7.856484       7.821730       1.235131      -1.178825      -0.086949      -1.055068       1.449338      -0.882547
   494       7.198161       9.032003       8.175140       0.805037       1.629222       1.709822      -6.757226       2.544637      -8.642402
   495       6.814857       7.954153       9.082926      -1.434417       1.607536       0.123823       0.561826       0.256480       1.655444
   496       6.027223       9.114917       8.968313       2.031702       0.672305       0.376159       0.361832       1.268238       0.641726
   497       8.143723       7.998908       8.039081      -1.629815       0.070230      -1.314126       1.545470       1.338321      -0.053865
   498       8.840373       8.882906       7.910158       0.669712      -1.291178      -0.023574      -0.677818       3.559964       2.728898
   499       8.968561       7.835833       8.921678      -1.525338       0.532366       1.128719      -0.022692      -0.076593      -0.882869
   500       7.980794       8.939238       8.857513      -1.098792      -0.386158       1.173268      10.369199      -2.776926       4.501585
